ProductID,Product Name,Product Line,Price (INR)
P001,Apple iPhone 14,Electronics,"79,999"
P002,Samsung Galaxy S21,Electronics,"69,999"
P003,"Sony Bravia 55"" TV",Electronics,"89,999"
P004,HP Pavilion Laptop,Electronics,"64,999"
P005,Apple MacBook Air,Electronics,"92,499"
P006,Nike Running Shoes,Footwear,"7,499"
P007,Adidas Sneakers,Footwear,"6,999"
P008,Puma Sports Shoes,Footwear,"5,499"
P009,Levi's Denim Jeans,Clothing,"3,499"
P010,Zara Casual Shirt,Clothing,"2,199"
P011,H&M T-Shirt,Clothing,"1,499"
P012,FabIndia Kurta,Clothing,"2,999"
P013,Raymond Suit,Clothing,"15,999"
P014,Bajaj Mixer Grinder,Home Appliances,"4,999"
P015,Philips Air Fryer,Home Appliances,"8,499"
P016,LG Washing Machine,Home Appliances,"24,999"
P017,IFB Microwave Oven,Home Appliances,"10,499"
P018,Prestige Pressure Cooker,Home Appliances,"2,299"
P019,Titan Wrist Watch,Accessories,"5,999"
P020,Fossil Smartwatch,Accessories,"12,999"
P021,Tupperware Lunch Box,Kitchenware,"1,299"
P022,Borosil Glass Set,Kitchenware,"1,999"
P023,Milton Thermos Flask,Kitchenware,"1,499"
P024,Puma Backpack,Bags,"2,799"
P025,American Tourister Suitcase,Bags,"8,999"
P026,Wildcraft Hiking Bag,Bags,"5,499"
P027,L'Oreal Shampoo,Personal Care,699
P028,Dove Soap Pack,Personal Care,349
P029,Colgate Toothpaste,Personal Care,99
P030,Nivea Body Lotion,Personal Care,399
